"Name","Yield_min","Yield_max","Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ah","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Blumenkohl, früh","0.8","1.2","CAULIFLOWER","CAULIFLOWER,RAW","11135","0","0.71","8","0","5.3","0","45","2.5","25","33","0","0.156","0.526","0.652","1.98","61","0","0.063","0.6","2.400000095","0.057","91.91","0.007","0.048","0.015","0.1","100.0","1 cup","13","1 floweret","22","0.042","0.44","15","44","303","30","0.28","13","1","0.0","0.222","46.4","0.08","16.0"
"Blumenkohl, spät","1.6","2.0","CAULIFLOWER","CAULIFLOWER,RAW","11135","0","0.71","8","0","5.3","0","45","2.5","25","33","0","0.156","0.526","0.652","1.98","61","0","0.063","0.6","2.400000095","0.057","91.91","0.007","0.048","0.015","0.1","100.0","1 cup","13","1 floweret","22","0.042","0.44","15","44","303","30","0.28","13","1","0.0","0.222","46.4","0.08","16.0"
"Weißkohl, früh","2.6","3.0","CABBAGE","CABBAGE,COMMON,FRESHLY HARVEST,RAW","11749","0","0.72","0","0","5.37","0","0","2.299999952","24","0","0","0.159","0.3","0.14","1.21","20","0","0.03","0.9","0.0","0.05","92.52","0.013","0.087","0.023","0.18","908.0","1 head","35",".5 cup, shredded","47","0.023","0.56","15","23","246","18","0.18","126","6","0.0","0.095","51.0","0.0","0.0"
"Weißkohl, spät","4.0","5.0","CABBAGE","CABBAGE,COMMON,FRESHLY HARVEST,RAW","11749","0","0.72","0","0","5.37","0","0","2.299999952","24","0","0","0.159","0.3","0.14","1.21","20","0","0.03","0.9","0.0","0.05","92.52","0.013","0.087","0.023","0.18","908.0","1 head","35",".5 cup, shredded","47","0.023","0.56","15","23","246","18","0.18","126","6","0.0","0.095","51.0","0.0","0.0"
"Rotkohl, früh","2.0","2.4","CABBAGE","CABBAGE,RED,CKD,BLD,DRND,W/SALT","11752","0","0.62","20","0","6.94","0","0","2.599999905","29","20","0","0.223","0.382","0.154","1.51","0","0","0.06","2.3","3.319999933","0.071","90.84","0.007","0.043","0.011","0.09","22.0","1 leaf","75",".5 cup, shredded","42","0.054","0.66","17","33","262","244","0.25","33","2","0.0","0.225","10.8","0.12","47.6"
"Rotkohl, spät","2.8","4.0","CABBAGE","CABBAGE,RED,CKD,BLD,DRND,W/SALT","11752","0","0.62","20","0","6.94","0","0","2.599999905","29","20","0","0.223","0.382","0.154","1.51","0","0","0.06","2.3","3.319999933","0.071","90.84","0.007","0.043","0.011","0.09","22.0","1 leaf","75",".5 cup, shredded","42","0.054","0.66","17","33","262","244","0.25","33","2","0.0","0.225","10.8","0.12","47.6"
"Wirsing, früh","2.0","2.4","CABBAGE","CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT","11753","0","0.7","0","0","5.41","0","0","2.799999952","24","0","0","0.152","0.024","0.159","1.8","0","0","0.02","0.7","0.0","0.051","92.0","0.007","0.043","0.012","0.09","145.0","1 cup, shredded","0","","30","0.052","0.38","24","33","184","260","0.23","889","44","0.0","0.152","17.0","0.0","0.0"
"Wirsing, spät","3.0","3.6","CABBAGE","CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT","11753","0","0.7","0","0","5.41","0","0","2.799999952","24","0","0","0.152","0.024","0.159","1.8","0","0","0.02","0.7","0.0","0.051","92.0","0.007","0.043","0.012","0.09","145.0","1 cup, shredded","0","","30","0.052","0.38","24","33","184","260","0.23","889","44","0.0","0.152","17.0","0.0","0.0"
"Rosenkohl (Rosen)","0.4","1.0","BRUSSELS SPROUTS","BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT","11745","0","0.95","465","0","7.1","0","41","2.599999905","36","1290","0","0.227","0.607","0.252","2.55","0","0","0.08","1.5","1.74000001","0.107","88.9","0.038","0.255","0.102","0.5","21.0","1 sprout","78",".5 cup","36","0.083","1.2","20","56","317","257","0.33","775","39","0.0","0.178","62.0","0.43","140.3"
"Grünkohl, niedrige Sorten","0.75","1.2","KALE","KALE,CKD,BLD,DRND,W/SALT","11790","0","0.87","8173","0","5.63","0","0","2.0","28","18246","0","0.416","0.5","0.049","1.9","0","0","0.07","0.9","1.25","0.053","91.2","0.03","0.193","0.052","0.4","130.0","1 cup, chopped","0","","72","0.156","0.9","18","28","228","259","0.24","13621","681","0.0","0.138","41.0","0.85","0.0"
"Grünkohl, hohe Sorten","1.2","2.0","KALE","KALE,CKD,BLD,DRND,W/SALT","11790","0","0.87","8173","0","5.63","0","0","2.0","28","18246","0","0.416","0.5","0.049","1.9","0","0","0.07","0.9","1.25","0.053","91.2","0.03","0.193","0.052","0.4","130.0","1 cup, chopped","0","","72","0.156","0.9","18","28","228","259","0.24","13621","681","0.0","0.138","41.0","0.85","0.0"
"Kohlrabi, früh","0.8","1.8","KOHLRABI","KOHLRABI,CKD,BLD,DRND,W/SALT","11793","0","1.1","21","0","6.69","0","13","1.100000024","29","0","0","0.142","0.39","0.16","1.8","0","0","0.02","0.8","2.799999952","0.04","90.3","0.008","0.053","0.014","0.11","165.0","1 cup, slices","0","","25","0.132","0.4","19","45","340","257","0.31","35","2","0.0","0.154","54.0","0.52","0.1"
"Kohlrabi, spät","2.0","3.0","KOHLRABI","KOHLRABI,CKD,BLD,DRND,W/SALT","11793","0","1.1","21","0","6.69","0","13","1.100000024","29","0","0","0.142","0.39","0.16","1.8","0","0","0.02","0.8","2.799999952","0.04","90.3","0.008","0.053","0.014","0.11","165.0","1 cup, slices","0","","25","0.132","0.4","19","45","340","257","0.31","35","2","0.0","0.154","54.0","0.52","0.1"
"Möhren, früh (Karotten)","1.2","2.0","CARROTS","CARROTS,RAW","11124","3477","0.97","8285","0","9.58","0","9","2.799999952","41","256","1","0.143","0.983","0.273","0.93","11","0","0.058","0.1","4.739999771","0.066","88.29","0.014","0.117","0.037","0.24","128.0","1 cup, chopped","110","1 cup, grated","33","0.045","0.3","12","35","320","69","0.24","16706","835","0.0","0.138","5.9","0.66","13.2"
"Möhren, spät","2.4","4.0","CARROTS","CARROTS,RAW","11124","3477","0.97","8285","0","9.58","0","9","2.799999952","41","256","1","0.143","0.983","0.273","0.93","11","0","0.058","0.1","4.739999771","0.066","88.29","0.014","0.117","0.037","0.24","128.0","1 cup, chopped","110","1 cup, grated","33","0.045","0.3","12","35","320","69","0.24","16706","835","0.0","0.138","5.9","0.66","13.2"
"Sellerie","1.4","2.0","CELERY","CELERY,RAW","11143","0","0.75","270","0","2.97","0","6","1.600000024","16","283","0","0.103","0.32","0.246","0.69","11","0","0.057","0.4","1.830000043","0.021","95.43","0.032","0.079","0.042","0.17","101.4","1 cup, chopped","110","1 NLEA serving","40","0.035","0.2","11","24","260","80","0.13","449","22","0.0","0.074","3.1","0.27","29.3"
"Petersilienwurzel","1.2","3.0","PARSLEY","PARSLEY,RAW","11297","0","2.2","5054","0","6.33","0","13","3.299999952","36","5561","0","0.16","1.313","0.4","2.97","5","0","0.098","0.1","0.850000024","0.086","87.71","0.295","0.124","0.132","0.79","60.0","1 cup","4","1 tbsp","138","0.149","6.2","50","58","554","56","1.07","8424","421","0.0","0.09","133.0","0.75","1640.0"
"Kohlrüben","3.0","4.0","TURNIPS","TURNIPS,RAW","11564","0","0.7","0","0","6.43","0","11","1.799999952","28","0","0","0.134","0.4","0.2","0.9","19","0","0.03","0.7","3.799999952","0.04","91.87","0.006","0.053","0.011","0.1","130.0","1 cup, cubes","183","1 large","30","0.085","0.3","11","27","191","67","0.27","0","0","0.0","0.09","21.0","0.03","0.1"
"Rote Rüben","1.5","3.5","BEETS","BEETS,RAW","11080","0","1.08","20","0","9.56","0","6","2.799999952","43","0","0","0.329","0.334","0.155","1.61","33","0","0.04","0.7","6.760000229","0.031","87.58","0.032","0.06","0.027","0.17","136.0","1 cup","82","1 beet,  (2"" dia)","16","0.075","0.8","23","40","325","78","0.35","33","2","0.0","0.067","4.9","0.04","0.2"
"Pastinake","2.0","3.0","PARSNIPS","PARSNIPS,RAW","11298","0","0.98","0","0","17.99","0","0","4.900000095","75","0","0","0.56","0.7","0.6","1.2","15","0","0.05","1.8","4.800000191","0.09","79.53","0.112","0.047","0.05","0.3","133.0","1 cup, slices","0","","36","0.12","0.59","29","71","375","10","0.59","0","0","0.0","0.09","17.0","1.49","22.5"
"Schwarzwurzel","1.2","1.8","SALSIFY","SALSIFY,(VEG OYSTER),RAW","11437","0","0.9","0","0","18.6","0","0","3.299999952","82","0","0","0.268","0.5","0.371","3.3","13","0","0.22","0.8","0.0","0.08","77.0","0.0","0.0","0.0","0.2","133.0","1 cup, slices","0","","60","0.089","0.7","23","75","380","20","0.38","0","0","0.0","0.277","8.0","0.0","0.0"
"Radies","0.6","0.8","RADISHES","RADISHES,RAW","11429","0","0.55","4","0","3.4","0","6","1.600000024","16","10","0","0.069","0.254","0.165","0.68","10","0","0.039","0.6","1.860000014","0.012","95.27","0.017","0.048","0.032","0.1","116.0","1 cup, slices","9","1 large,  (1 to 1,1/4 dia)","25","0.05","0.34","10","20","233","39","0.28","7","0","0.0","0.071","14.8","0.0","1.3"
"Rettich, Sommer","1.5","2.5","RADISHES","RADISHES,RAW","11429","0","0.55","4","0","3.4","0","6","1.600000024","16","10","0","0.069","0.254","0.165","0.68","10","0","0.039","0.6","1.860000014","0.012","95.27","0.017","0.048","0.032","0.1","116.0","1 cup, slices","9","1 large,  (1 to 1 1/4 dia)","25","0.05","0.34","10","20","233","39","0.28","7","0","0.0","0.071","14.8","0.0","1.3"
"Rettich, Herbst","1.2","2.0","RADISHES","RADISHES,RAW","11429","0","0.55","4","0","3.4","0","6","1.600000024","16","10","0","0.069","0.254","0.165","0.68","10","0","0.039","0.6","1.860000014","0.012","95.27","0.017","0.048","0.032","0.1","116.0","1 cup, slices","9","1 large,  (1 to 1 1/4 dia)","25","0.05","0.34","10","20","233","39","0.28","7","0","0.0","0.071","14.8","0.0","1.3"
"Kopfsalat, früh Sommer und Herbst","1.5","2.0","LETTUCE","LETTUCE,GRN LEAF,RAW","11253","0","0.62","4443","0","2.79","0","13","1.299999952","15","1730","0","0.25","0.375","0.134","1.36","36","0","0.08","0.6","0.779999971","0.07","95.07","0.006","0.082","0.02","0.15","35.58","1 cup, shredded","360","1 head","36","0.029","0.86","13","29","194","28","0.18","7405","370","0.0","0.09","18.0","0.29","173.6"
